addr,lat,lng
嘉義市垂楊路、新民路,23.4727768,120.4394609
嘉義市新民路、垂楊路口,23.4727768,120.4394609
嘉義市日新街、立德街,23.4728656,120.4677997
嘉義市永和街、垂楊路,23.4728846,120.4403696
嘉義市友忠路、玉山路,23.4729287,120.4300772
嘉義市仁愛路、垂楊路,23.4730304,120.4424813
嘉義市垂楊路、仁愛路口,23.4730304,120.4424813
嘉義市垂楊路、西門街,23.4733533,120.4436405
嘉義市西榮街、垂楊路,23.4733779,120.4457656
嘉義市世賢路二段、大華路,23.4734179,120.4211541
嘉義市垂楊路、新榮路,23.4734319,120.4447597
嘉義市博愛路二段、玉山路口,23.4734376,120.432611
嘉義市垂楊路、民生南路,23.4734884,120.4468698
嘉義市垂楊路、民生南路,23.4734884,120.4468698
嘉義市育人路258巷口,23.473644,120.4068223
嘉義市育人路381巷口,23.473644,120.4068223
嘉義市育人路162巷口,23.473644,120.4068223
嘉義市永樂二街、大華路,23.4736472,120.4222102
嘉義市和平路、宣信街,23.4736554,120.4579026
嘉義市永康四街、大華路,23.4737062,120.4220387
嘉義市永福三街、大統路,23.4737402,120.4253051
嘉義市力行街、康樂街,23.4738604,120.4380423
嘉義市文化路694巷口,23.473903,120.449245
嘉義市文化路432巷口,23.473903,120.449245
嘉義市湖子內路永欽橋頭,23.473903,120.449245
嘉義市西門街26號先天宮前,23.473944,120.5080807
嘉義市文化路、垂楊路,23.4739897,120.4502504
嘉義市大華路、金山路,23.4740258,120.4238655
嘉義市金山路、大華路,23.4740258,120.4238655
嘉義市吳鳳北路、垂楊路,23.4741008,120.4538434
嘉義市康樂街、永和街,23.4741176,120.4402453
嘉義市康樂街、仁愛路,23.4742709,120.4422988
嘉義市西門街、康樂街,23.4744308,120.4434848
嘉義市垂楊路、和平路,23.4744783,120.4578232
嘉義市新榮路、康樂街,23.4745513,120.4446286
嘉義市博愛路、大同路口,23.4745834,120.4336472
嘉義市西榮街、康樂街,23.4746191,120.4456018
嘉義市垂楊路、民國路,23.4747912,120.4609792
嘉義市中興路、大華路口,23.4750399,120.4284347
嘉義市嘉雄陸橋、民族路,23.47504,120.4389634
嘉義市中山路、新民路,23.4750921,120.4394048
嘉義市廣寧街、民族路,23.4752367,120.4411969
嘉義市民族路、仁愛路,23.4753138,120.4422002
嘉義市大同路、友忠路,23.4753518,120.4322938
嘉義市民族路、西門街,23.4754545,120.4434047
嘉義市民族路、新榮路,23.4755558,120.4445158
嘉義市永樂五街、金山路,23.4756405,120.423449
嘉義市世賢路、大同路,23.4756471,120.4207042
嘉義市世賢路二段、大同路,23.4756471,120.4207042
嘉義市博愛路、友愛路口,23.4756741,120.4345216
嘉義市民族路、民生北路,23.4757037,120.4466267
嘉義市民族路、民生北路口,23.4757037,120.4466267
嘉義市民族路、忠義街,23.4758022,120.4477472
嘉義市融和街、朝陽街,23.4758319,120.459601
嘉義市民族路、文化路,23.4760148,120.4500481
嘉義市西門街168號震安宮廟,23.4760449,120.4434482
嘉義市西門街168號震安宮廟內,23.4760449,120.4434482
嘉義市仁愛路、延平街,23.4760457,120.4421411
嘉義市西門街、延平街,23.4761964,120.4433208
嘉義市大同路、金山路,23.476207,120.4232997
嘉義市中山路永和街,23.476229,120.4398267
嘉義市新榮路、延平街,23.4763159,120.4444544
嘉義市西榮街、延平街,23.4763675,120.4454518
嘉義市小雅路、立德街,23.4764444,120.4699068
嘉義市民族路、共和路,23.4765609,120.4558936
嘉義市蘭井街、廣寧街,23.476673,120.4410437
嘉義市林森西路、國華街口,23.476691,120.44872
嘉義市康樂街、國華街口,23.476691,120.44872
嘉義市和平路、民族路,23.4766925,120.4575669
嘉義市大同路、四維路,23.4767472,120.4255879
嘉義市仁愛路、蘭井街,23.4767594,120.4420674
嘉義市民族路、安和街,23.476764,120.4583536
嘉義市北港路、博愛路口,23.4768224,120.4355712
嘉義市新榮路、蘭井街,23.4769599,120.4444012
嘉義市民族路、民國路,23.4769745,120.4606672
嘉義市啟明路、民族路,23.47704,120.461767
嘉義市西榮街、蘭井街,23.4770609,120.4453698
嘉義市大雅路、雅竹街,23.4771547,120.475797
嘉義市中興路、大同路,23.4772079,120.427785
嘉義市大同路、中興路,23.4772079,120.427785
嘉義市忠義街、蘭井街,23.477241,120.4476009
嘉義市永春一街、四維路,23.477295,120.425205
嘉義市國華街、蘭井街,23.4773456,120.448742
嘉義市光彩街、仁愛路,23.4774709,120.4419913
嘉義市西門街、光彩街,23.4775655,120.4431786
嘉義市友愛路、北港路,23.477603,120.4344252
嘉義市北港、友愛、友忠路口,23.477603,120.4344252
嘉義市友愛、北港、友忠路口,23.477603,120.4344252
嘉義市永春一街、永春四街,23.4776182,120.426925
嘉義市光彩街、西榮街口,23.4776335,120.4446106
嘉義市吳鳳北路、光華路,23.4778967,120.453423
嘉義市忠義街、光彩街,23.4779552,120.447515
嘉義市永春五街、永春四街,23.4780713,120.4276449
嘉義市永春二街（橋頭）,23.4782663,120.4260797
嘉義市仁愛路、中正路,23.4784748,120.4418863
嘉義市西榮街、中正路口,23.4787336,120.4451898
嘉義市漁市場、忠孝路,23.4787416,120.4544546
嘉義市國華街、中正路口,23.4787455,120.4485912
嘉義市忠義街、中正路口,23.4787972,120.4474543
嘉義市文昌街、光彩街,23.4788692,120.4563199
嘉義市興中街、光華街,23.478973,120.4513059
嘉義市光彩街、和平路,23.4789845,120.4571451
